City,Country,Latitude,Longitude,Temperature,Humidity,Clouds,Wind_Speed
nuuk,GL,64.1835,-51.7216,2.71,60,32,1.79
yukuhashi,JP,33.7287,130.983,20.52,94,75,2.06
carlos antonio lopez,PY,-26.4,-54.7667,18.94,76,0,1.54
skoghall,SE,59.3232,13.4655,8.31,87,48,4.12
kavieng,PG,-2.5744,150.7967,27.92,72,100,3.8
linjiang,CN,41.8069,126.9078,9.37,92,79,1.41
williams lake,CA,52.1415,-122.1445,21.7,28,75,1.54
mendeleyevsk,RU,55.9082,52.2905,3.29,83,62,3.17
kazanskaya,RU,45.4106,40.4361,9.48,85,35,2.85
salekhard,RU,66.53,66.6019,6.7,66,100,7.41
cairns,AU,-16.9167,145.7667,21.57,91,40,2.06
bandraboua,YT,-12.7044,45.1223,24.82,64,9,4.14
zemes,RO,46.5833,26.4167,14.3,88,51,2.33
ekibastuz,KZ,51.6667,75.3667,17.73,42,84,2.77
kampot,KH,10.6167,104.1833,29.03,85,100,3.87
hovd,MN,48.0056,91.6419,20.01,36,100,0.52
hobyo,SO,5.3505,48.5268,26.28,81,89,11.4
san patricio,US,28.017,-97.5169,29.43,69,99,4.76
inhambane,MZ,-23.865,35.3833,20.78,85,0,1.6
kerman,IR,30.2832,57.0788,20.92,11,0,3.09
balabac,PH,7.9868,117.0645,27.47,81,100,3.03
guiratinga,BR,-16.3494,-53.7583,22.98,50,6,1.3
tilichiki,RU,60.4667,166.1,3.4,81,100,2.4
asfi,MA,32.2994,-9.2372,18.31,78,34,8.58
miyako,JP,39.6367,141.9525,19.09,68,2,3.81
vardo,NO,70.3705,31.1107,3.99,87,40,4.12
oksfjord,NO,70.2396,22.3479,12.12,56,12,5.19
martinsburg,US,39.4562,-77.9639,20.27,67,100,4.97
buraydah,SA,26.326,43.975,31.25,16,17,7.22
hualmay,PE,-11.0964,-77.6139,18.96,77,44,3.65
maroantsetra,MG,-15.4333,49.7333,21.54,91,58,1.26
ordzhonikidze,KZ,52.4411,61.7408,12.85,77,100,4.2
ponta do sol,PT,32.6667,-17.1,18.76,73,100,2.34
trairi,BR,-3.2778,-39.2689,25.09,87,70,3.41
xacmaz,AZ,41.4635,48.806,11.62,72,8,2.79
birin,NP,26.8865,88.0718,16.08,83,96,1.68
kieta,PG,-6.2167,155.6333,28.22,73,97,1.47
tikrit,IQ,34.6071,43.6782,23.4,18,0,4.73
menongue,AO,-14.6585,17.691,10.67,49,0,1.27
alyangula,AU,-13.8483,136.4192,24.14,76,16,3.67
rantauprapat,ID,2.1,99.8333,23.61,92,100,0.81
ullapool,GB,57.8987,-5.1604,9.64,88,22,8.22
neiafu,TO,-18.65,-173.9833,28.38,78,40,5.66
mishan,CN,45.55,131.8833,14.13,91,100,4.44
latina,IT,41.45,13.1,18.03,75,58,0.38
noumea,NC,-22.2763,166.4572,24.44,99,6,0.95
kisangani,CD,0.5167,25.2,21.68,92,93,0.3
tianpeng,CN,30.9866,103.9393,22.07,86,100,0.82
portland,US,45.5234,-122.6762,22.11,56,75,3.09
waingapu,ID,-9.6567,120.2641,25.3,87,100,3.24
sobolevo,RU,54.4299,31.8996,11.71,80,99,2.61
zvishavane,ZW,-20.3267,30.0665,15.98,49,0,0.92
sao joao do piaui,BR,-8.3581,-42.2467,26.43,62,95,2.58
korla,CN,41.7597,86.1469,27.71,17,100,2.16
maraa,BR,-1.8333,-65.3667,25.74,86,84,1.41
aguimes,ES,27.9054,-15.4461,18.3,64,75,10.29
ayaviri,PE,-14.8864,-70.5889,10.32,35,100,2.19
sinnai,IT,39.3042,9.2036,20.44,80,0,4.12
lucea,JM,18.451,-78.1736,26.59,78,41,5.87
tete,MZ,-16.1564,33.5867,18.05,82,20,0.51
mormugao,IN,15.4,73.8,27.59,89,40,2.06
djambala,CG,-2.5447,14.7533,20.52,91,100,0.88
sorong,ID,-0.8833,131.25,24.57,88,100,2.2
george town,MY,5.4112,100.3354,25.01,93,20,0.51
kavaratti,IN,10.5669,72.642,28.34,79,60,5.24
tailai,CN,46.3833,123.4,13.03,65,99,4.43
bathsheba,BB,13.2167,-59.5167,29.34,70,20,7.2
altay,CN,47.8667,88.1167,22.59,33,100,0.37
farafangana,MG,-22.8167,47.8333,21.48,89,34,3.21
moose factory,CA,51.2585,-80.6094,8.99,71,0,5.14
tahta,EG,26.7693,31.5021,27.02,18,0,4.0
whitehorse,CA,60.7161,-135.0538,9.26,57,75,9.26
maryborough,AU,-25.5333,152.7,18.29,90,62,2.65
kouango,CF,4.9934,19.9619,21.55,96,71,1.59
stromness,GB,58.965,-3.296,9.37,82,8,5.81
lebedinyy,RU,58.5167,125.5167,3.11,81,87,1.27
ravenna,IT,44.4167,11.9833,19.09,90,64,1.31
los llanos de aridane,ES,28.6585,-17.9182,17.85,78,100,6.17
nara,JP,34.6851,135.8049,21.37,62,97,2.14
aksay,RU,47.26,39.87,15.14,75,42,2.68
ouesso,CG,1.6136,16.0517,21.49,98,51,0.34
amga,RU,60.8953,131.9608,3.08,86,100,3.66
port hardy,CA,50.6996,-127.4199,15.1,58,75,6.69
diamantino,BR,-14.4086,-56.4461,26.84,45,55,2.06
bucerias,MX,20.75,-105.3333,29.98,50,0,4.0
baykit,RU,61.67,96.37,8.02,91,93,1.67
come,BJ,6.4076,1.882,26.19,81,90,3.51
shillong,IN,25.5689,91.8831,15.31,91,49,1.32
sabha,LY,27.0377,14.4283,30.84,9,51,2.33
luangwa,ZM,-15.6167,30.4167,16.85,65,0,0.5
silver city,US,32.7701,-108.2803,28.44,10,0,7.2
ambositra,MG,-20.5167,47.25,11.96,87,5,0.82
pingzhuang,CN,42.0372,119.2889,14.02,49,53,1.21
ramhormoz,IR,31.28,49.6035,28.13,17,0,2.37
arvika,SE,59.6553,12.5852,8.34,88,47,2.96
vangaindrano,MG,-23.35,47.6,21.04,90,67,2.24
tirat karmel,IL,32.7617,34.9719,20.33,92,0,4.48
lorengau,PG,-2.0226,147.2712,27.36,77,100,0.89
pervomayskoye,RU,43.919,46.7102,14.63,67,58,3.34
huarmey,PE,-10.0681,-78.1522,19.56,78,18,3.84
nanortalik,GL,60.1432,-45.2371,1.22,78,7,5.94
bray,IE,53.2028,-6.0983,12.25,78,79,5.96
vidim,RU,56.4088,103.1106,10.76,82,38,1.32
dingle,PH,10.9995,122.6711,25.95,87,99,1.37
lazaro cardenas,MX,17.9583,-102.2,28.85,61,97,5.64
doha,QA,25.2867,51.5333,31.99,22,0,5.14
netivot,IL,31.4222,34.5886,19.71,77,0,2.54
muros,ES,42.7762,-9.0603,14.91,79,18,5.05
puerto leguizamo,CO,-0.1934,-74.7819,25.04,96,67,0.62
fortuna,US,40.5982,-124.1573,18.89,71,0,7.2
petatlan,MX,17.5167,-101.2667,30.05,58,49,2.94
zaysan,KZ,47.4667,84.8667,19.36,61,71,2.62
lagoa,PT,39.05,-27.9833,16.29,79,0,6.12
buala,SB,-8.145,159.5921,27.91,76,31,1.81
juquitiba,BR,-23.9317,-47.0683,14.48,77,1,1.15
vallenar,CL,-28.5708,-70.7581,19.66,44,14,1.52
boralday,KZ,43.3578,76.8594,16.92,63,75,3.0
kodinsk,RU,58.6881,99.1844,9.18,96,23,3.04
valdez,EC,1.2492,-78.9831,26.19,81,100,4.84
